Year,State,COVID-19 Deaths
2019,Alabama,0
2020,Alabama,6706
2021,Alabama,9719
2022,Alabama,4226
2019,Alaska,0
2020,Alaska,254
2021,Alaska,839
2022,Alaska,330
2019,Arizona,0
2020,Arizona,9321
2021,Arizona,14060
2022,Arizona,5906
2019,Arkansas,0
2020,Arkansas,4027
2021,Arkansas,5336
2022,Arkansas,2779
2019,California,0
2020,California,33579
2021,California,48333
2022,California,22449
2019,Colorado,0
2020,Colorado,5073
2021,Colorado,6207
2022,Colorado,3414
2019,Connecticut,0
2020,Connecticut,6298
2021,Connecticut,3153
2022,Connecticut,2580
2019,Delaware,0
2020,Delaware,1096
2021,Delaware,1266
2022,Delaware,867
2019,Florida,0
2020,Florida,21828
2021,Florida,38875
2022,Florida,16912
2019,Georgia,0
2020,Georgia,10454
2021,Georgia,17310
2022,Georgia,7229
2019,Hawaii,0
2020,Hawaii,365
2021,Hawaii,744
2022,Hawaii,643
2019,Idaho,0
2020,Idaho,1541
2021,Idaho,2785
2022,Idaho,1084
2019,Illinois,0
2020,Illinois,16721
2021,Illinois,11788
2022,Illinois,8720
2019,Indiana,0
2020,Indiana,9776
2021,Indiana,10054
2022,Indiana,6032
2019,Iowa,0
2020,Iowa,4769
2021,Iowa,3526
2022,Iowa,2242
2019,Kansas,0
2020,Kansas,3510
2021,Kansas,3806
2022,Kansas,2410
2019,Kentucky,0
2020,Kentucky,4619
2021,Kentucky,8695
2022,Kentucky,5758
2019,Louisiana,0
2020,Louisiana,7066
2021,Louisiana,6919
2022,Louisiana,3113
2019,Maine,0
2020,Maine,465
2021,Maine,1433
2022,Maine,1048
2019,Maryland,0
2020,Maryland,7735
2021,Maryland,6808
2022,Maryland,4760
2019,Massachusetts,0
2020,Massachusetts,10221
2021,Massachusetts,5579
2022,Massachusetts,4336
2019,Michigan,0
2020,Michigan,12342
2021,Michigan,14945
2022,Michigan,8116
2019,Minnesota,0
2020,Minnesota,5834
2021,Minnesota,5181
2022,Minnesota,3360
2019,Mississippi,0
2020,Mississippi,5162
2021,Mississippi,5907
2022,Mississippi,3190
2019,Missouri,0
2020,Missouri,8059
2021,Missouri,8946
2022,Missouri,5433
2019,Montana,0
2020,Montana,1269
2021,Montana,1816
2022,Montana,729
2019,Nebraska,0
2020,Nebraska,2253
2021,Nebraska,1939
2022,Nebraska,1296
2019,Nevada,0
2020,Nevada,3527
2021,Nevada,5645
2022,Nevada,2713
2019,New Hampshire,0
2020,New Hampshire,828
2021,New Hampshire,1204
2022,New Hampshire,821
2019,New Jersey,0
2020,New Jersey,18165
2021,New Jersey,9605
2022,New Jersey,6571
2019,New Mexico,0
2020,New Mexico,2888
2021,New Mexico,3704
2022,New Mexico,2009
2019,New York,0
2020,New York,38480
2021,New York,23862
2022,New York,14932
2019,North Carolina,0
2020,North Carolina,8789
2021,North Carolina,15235
2022,North Carolina,8415
2019,North Dakota,0
2020,North Dakota,1513
2021,North Dakota,939
2022,North Dakota,538
2019,Ohio,0
2020,Ohio,15097
2021,Ohio,20536
2022,Ohio,11972
2019,Oklahoma,0
2020,Oklahoma,5248
2021,Oklahoma,7850
2022,Oklahoma,4562
2019,Oregon,0
2020,Oregon,1612
2021,Oregon,4190
2022,Oregon,2803
2019,Pennsylvania,0
2020,Pennsylvania,18407
2021,Pennsylvania,20546
2022,Pennsylvania,11642
2019,Rhode Island,0
2020,Rhode Island,1918
2021,Rhode Island,1217
2022,Rhode Island,769
2019,South Carolina,0
2020,South Carolina,5705
2021,South Carolina,9497
2022,South Carolina,4574
2019,South Dakota,0
2020,South Dakota,1715
2021,South Dakota,987
2022,South Dakota,634
2019,Tennessee,0
2020,Tennessee,7927
2021,Tennessee,13705
2022,Tennessee,7223
2019,Texas,0
2020,Texas,33542
2021,Texas,48787
2022,Texas,18614
2019,Utah,0
2020,Utah,1657
2021,Utah,2671
2022,Utah,1332
2019,Vermont,0
2020,Vermont,145
2021,Vermont,308
2022,Vermont,387
2019,Virginia,0
2020,Virginia,6156
2021,Virginia,9668
2022,Virginia,6003
2019,Washington,0
2020,Washington,3703
2021,Washington,6165
2022,Washington,4157
2019,West Virginia,0
2020,West Virginia,1564
2021,West Virginia,3938
2022,West Virginia,2360
2019,Wisconsin,0
2020,Wisconsin,6286
2021,Wisconsin,6076
2022,Wisconsin,3916
2019,Wyoming,0
2020,Wyoming,461
2021,Wyoming,963
2022,Wyoming,353
